Elección;Circunscripción;Partido;Apellidos, Nombre
E19;ESTADO;Cs;BAUZA DIAZ, JOSE RAMON
E19;ESTADO;Cs;CAÑAS PEREZ, JORDI
E19;ESTADO;Cs;GARICANO GABILONDO, LUIS
E19;ESTADO;Cs;NART PEÑALVER, JAVIER
E19;ESTADO;Cs;PAGAZAURTUNDUA RUIZ, MARIA TERESA
E19;ESTADO;Cs;RODRIGUEZ RAMOS, MARIA SORAYA
E19;ESTADO;Cs;SOLIS PEREZ, SUSANA
E19;ESTADO;EAJ-PNV... (E19);BILBAO BARANDICA, MIREN IZASKUN
E19;ESTADO;EH BILDU... (E19);BARRENA ARZA, JOXE PERNANDO
E19;ESTADO;EH BILDU... (E19);JUNQUERAS VIES, ORIOL
E19;ESTADO;EH BILDU... (E19);RIBA GINER, DIANA
E19;ESTADO;JUNTS;COMIN OLIVERES, ANTONI
E19;ESTADO;JUNTS;PUIGDEMONT CASAMAJO, CARLES
E19;ESTADO;PODEMOS-IU;ABED REGO, SIRA
E19;ESTADO;PODEMOS-IU;PINEDA MARIN, MJOSE MANUEL
E19;ESTADO;PODEMOS-IU;RODRIGUEZ PALOP, MARIA EUGENIA
E19;ESTADO;PODEMOS-IU;URBAN CRESPO, MIGUEL
E19;ESTADO;PODEMOS-IU;URTASUN DOMENECH, ERNEST
E19;ESTADO;PODEMOS-IU;VILLANUEVA RUIZ, IDOIA
E19;ESTADO;PP;ARIAS ECHEVERRIA, PABLO
E19;ESTADO;PP;BENJUMEA BENJUMEA, ISABEL
E19;ESTADO;PP;DEL CASTILLO VERA, PILAR
E19;ESTADO;PP;ESTARAS FERRAGUT, ROSA
E19;ESTADO;PP;GARCIA-MARGALLO MARFIL, JOSE MANUEL
E19;ESTADO;PP;GONZALEZ PONS, ESTEBAN
E19;ESTADO;PP;LOPEZ GIL, LEOPOLDO
E19;ESTADO;PP;LOPEZ-ISTURIZ WHITE, ANTONIO JAVIER
E19;ESTADO;PP;MILLAN MON, FRANCISCO JOSE RICARDO
E19;ESTADO;PP;MONTSERRAT MONTSERRAT, DOLORS
E19;ESTADO;PP;ZARZALEJOS NIETO, FRANCISCO JAVIER
E19;ESTADO;PP;ZOIDO ALVAREZ, JUAN IGNACIO
E19;ESTADO;PSE-PSOE;AGUILERA GARCIA, CLARA EUGENIA
E19;ESTADO;PSE-PSOE;BORRELL FONTELLES, JOSE
E19;ESTADO;PSE-PSOE;FERNANDEZ ALVAREZ, JONAS
E19;ESTADO;PSE-PSOE;GALVEZ MUÑOZ, LINA
E19;ESTADO;PSE-PSOE;GARCIA DEL BLANCO, IBAN
E19;ESTADO;PSE-PSOE;GARCIA MUÑOZ, ISABEL
E19;ESTADO;PSE-PSOE;GARCIA PEREZ, IRATXE
E19;ESTADO;PSE-PSOE;GARDIAZABAL RUBIAL, EIDER
E19;ESTADO;PSE-PSOE;GONZALEZ CASARES, NICOLAS
E19;ESTADO;PSE-PSOE;GONZALEZ GONZALEZ, MONICA SILVANA
E19;ESTADO;PSE-PSOE;HOMS GINEL, ALICIA
E19;ESTADO;PSE-PSOE;LOPEZ AGUILAR, JUAN FERNANDO
E19;ESTADO;PSE-PSOE;LOPEZ FERNANDEZ, JAVIER
E19;ESTADO;PSE-PSOE;LUENA LOPEZ, CESAR
E19;ESTADO;PSE-PSOE;MAESTRE MARTIN DE ALMAGRO, CRISTINA
E19;ESTADO;PSE-PSOE;MALDONADO LOPEZ, ADRIANA
E19;ESTADO;PSE-PSOE;MORENO SANCHEZ, JAVIER
E19;ESTADO;PSE-PSOE;RODRIGUEZ-PIÑERO FERNANDEZ, INMACULADA
E19;ESTADO;PSE-PSOE;RUIZ DEVESA, DOMÈNEC MIGUEL
E19;ESTADO;PSE-PSOE;SANCHEZ AMOR, IGNACIO
E19;ESTADO;VOX;AGUILAR PINAR, MAZALY
E19;ESTADO;VOX;BUXADE VILLALBA, JORGE
E19;ESTADO;VOX;TERTSCH DEL VALLE-LERSUNDI, HERMANN LEOPOLD
